#####################################################################
# Alchemist log file - simulation started at: 2025-03-20T15:40+0000 #
#####################################################################
#
# seed = 187.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 1.0 NaN 0.0 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 500 500 0.00 500 0.00 NaN NaN NaN NaN NaN
0.14612164028178687 4 10.652898635749569 10.9296595464583 3.0 0.08745431319937978 2.0 3.0 1.5 1.0 1.0 1.0 3.00 0.750 2.25 0.00 1.50 0.101 0.101 0.00 0.101 0.00 450 113 5.06e+04 0.00 225 0.101 0.101 0.00 0.101 0.00
1.1461216402817869 4 10.652898635749569 10.9296595464583 3.0 0.08745431319937978 2.0 3.0 1.5 1.0 1.0 1.0 3.00 0.750 2.25 0.00 1.50 0.148 0.113 0.000567 0.101 0.0238 2.02e+03 1.30e+03 4.16e+05 1.37e+03 645 0.175 0.131 0.00136 0.124 0.0369
2.1461216402817866 4 10.652898635749569 10.9296595464583 3.0 0.08745431319937978 2.0 3.0 1.5 1.0 1.0 1.0 3.00 0.750 2.25 0.00 1.50 0.148 0.113 0.000567 0.101 0.0238 1.82e+03 1.18e+03 3.14e+05 1.23e+03 560 0.175 0.131 0.00136 0.124 0.0369
3.1461216402817866 7 12.16660646474707 13.535964033412368 5.0 0.07468553376374133 3.0 4.0 2.0 1.3 2.0 1.2 3.00 0.857 2.14 0.00 1.46 0.711 0.240 0.0488 0.148 0.221 1.82e+03 676 5.57e+05 450 747 0.711 0.250 0.0462 0.175 0.215
4.146121640281787 7 12.16660646474707 13.535964033412368 5.0 0.07468553376374133 3.0 4.0 2.0 1.3 2.0 1.2 3.00 0.857 2.14 0.00 1.46 0.711 0.240 0.0488 0.148 0.221 841 225 9.93e+04 141 315 0.711 0.357 0.0611 0.303 0.247
5.146121640281787 7 12.16660646474707 13.535964033412368 5.0 0.07468553376374133 3.0 4.0 2.0 1.3 2.0 1.2 3.00 0.857 2.14 0.00 1.46 0.711 0.240 0.0488 0.148 0.221 1.45e+04 3.79e+03 2.81e+07 757 5.30e+03 0.711 0.357 0.0611 0.303 0.247
6.146121640281787 7 12.16660646474707 13.535964033412368 5.0 0.07468553376374133 3.0 4.0 2.0 1.3 2.0 1.2 3.00 0.857 2.14 0.00 1.46 0.711 0.240 0.0488 0.148 0.221 1.45e+04 3.79e+03 2.81e+07 757 5.30e+03 0.711 0.357 0.0611 0.303 0.247
7.146121640281787 10 10.86466378235364 15.359142053688387 7.0 0.061192321927733134 4.0 4.0 2.2 1.5 2.0 1.2 3.00 0.900 2.10 0.00 1.45 7.91 1.24 6.01 0.259 2.45 1.45e+04 2.65e+03 2.21e+07 289 4.70e+03 7.91 1.32 5.84 0.377 2.42
8.146121640281788 10 10.86466378235364 15.359142053688387 7.0 0.061192321927733134 4.0 4.0 2.2 1.5 2.0 1.2 3.00 0.900 2.10 0.00 1.45 7.91 1.24 6.01 0.259 2.45 1.45e+04 2.65e+03 2.21e+07 289 4.70e+03 8.64 2.11 11.0 0.377 3.32
9.146121640281788 10 10.86466378235364 15.359142053688387 7.0 0.061192321927733134 4.0 4.0 2.2 1.5 2.0 1.2 3.00 0.900 2.10 0.00 1.45 7.91 1.24 6.01 0.259 2.45 1.45e+04 2.81e+03 2.17e+07 254 4.66e+03 8.64 2.74 10.9 1.41 3.30
10.146121640281788 10 10.86466378235364 15.359142053688387 7.0 0.061192321927733134 4.0 4.0 2.2 1.5 2.0 1.2 3.00 0.900 2.10 0.00 1.45 7.91 1.24 6.01 0.259 2.45 3.50e+06 4.66e+05 1.24e+12 1.39e+03 1.11e+06 8.64 2.74 10.9 1.41 3.30
11.146121640281788 10 10.86466378235364 15.359142053688387 7.0 0.061192321927733134 4.0 4.0 2.2 1.5 2.0 1.2 3.00 0.900 2.10 0.00 1.45 7.91 1.24 6.01 0.259 2.45 3.50e+06 4.66e+05 1.24e+12 1.39e+03 1.11e+06 8.64 2.74 10.9 1.41 3.30
12.146121640281788 10 10.86466378235364 15.359142053688387 7.0 0.061192321927733134 4.0 4.0 2.2 1.5 2.0 1.2 3.00 0.900 2.10 0.00 1.45 7.91 1.24 6.01 0.259 2.45 3.50e+06 4.66e+05 1.24e+12 1.39e+03 1.11e+06 8.64 2.74 10.9 1.41 3.30
13.146121640281788 13 9.279450124391232 17.428812624026445 9.0 0.04937559630618993 5.0 4.0 2.3 1.4 2.0 1.2 3.00 0.923 2.08 0.00 1.44 69.8 7.22 363 0.330 19.1 3.50e+06 3.59e+05 9.70e+11 450 9.85e+05 69.8 8.37 352 2.50 18.8
14.146121640281788 13 9.279450124391232 17.428812624026445 9.0 0.04937559630618993 5.0 4.0 2.3 1.4 2.0 1.2 3.00 0.923 2.08 0.00 1.44 69.8 7.22 363 0.330 19.1 3.50e+06 3.59e+05 9.70e+11 450 9.85e+05 81.4 14.0 763 2.50 27.6
15.146121640281788 13 9.279450124391232 17.428812624026445 9.0 0.04937559630618993 5.0 4.0 2.3 1.4 2.0 1.2 3.00 0.923 2.08 0.00 1.44 69.8 7.22 363 0.330 19.1 3.50e+06 3.59e+05 9.70e+11 450 9.85e+05 81.4 18.6 979 2.50 31.3
16.146121640281788 13 9.279450124391232 17.428812624026445 9.0 0.04937559630618993 5.0 4.0 2.3 1.4 2.0 1.2 3.00 0.923 2.08 0.00 1.44 69.8 7.22 363 0.330 19.1 3.50e+06 3.59e+05 9.70e+11 450 9.85e+05 81.4 22.2 953 2.61 30.9
17.146121640281788 13 9.279450124391232 17.428812624026445 9.0 0.04937559630618993 5.0 4.0 2.3 1.4 2.0 1.2 3.00 0.923 2.08 0.00 1.44 69.8 7.22 363 0.330 19.1 8.22e+09 6.50e+08 5.17e+18 2.89e+03 2.27e+09 81.4 22.2 953 2.61 30.9
18.146121640281788 13 9.279450124391232 17.428812624026445 9.0 0.04937559630618993 5.0 4.0 2.3 1.4 2.0 1.2 3.00 0.923 2.08 0.00 1.44 69.8 7.22 363 0.330 19.1 8.22e+09 6.50e+08 5.17e+18 2.89e+03 2.27e+09 81.4 22.2 953 2.61 30.9
19.146121640281788 13 9.279450124391232 17.428812624026445 9.0 0.04937559630618993 5.0 4.0 2.3 1.4 2.0 1.2 3.00 0.923 2.08 0.00 1.44 69.8 7.22 363 0.330 19.1 8.22e+09 6.50e+08 5.17e+18 2.89e+03 2.27e+09 81.4 22.2 953 2.61 30.9
20.146121640281788 13 9.279450124391232 17.428812624026445 9.0 0.04937559630618993 5.0 4.0 2.3 1.4 2.0 1.2 3.00 0.923 2.08 0.00 1.44 69.8 7.22 363 0.330 19.1 8.22e+09 6.50e+08 5.17e+18 2.89e+03 2.27e+09 81.4 22.2 953 2.61 30.9
21.146121640281788 16 9.387279810976983 19.81325230331789 11.0 0.047267154393258196 6.0 4.0 2.4 1.3 2.0 1.1 3.00 0.938 2.06 0.00 1.44 233 37.4 5.32e+03 1.60 73.0 8.22e+09 5.29e+08 4.21e+18 475 2.05e+09 233 49.5 5.05e+03 13.5 71.1
22.146121640281788 16 9.387279810976983 19.81325230331789 11.0 0.047267154393258196 6.0 4.0 2.4 1.3 2.0 1.1 3.00 0.938 2.06 0.00 1.44 233 37.4 5.32e+03 1.60 73.0 8.22e+09 5.29e+08 4.21e+18 475 2.05e+09 504 76.7 1.80e+04 13.5 134
23.146121640281788 16 9.387279810976983 19.81325230331789 11.0 0.047267154393258196 6.0 4.0 2.4 1.3 2.0 1.1 3.00 0.938 2.06 0.00 1.44 233 37.4 5.32e+03 1.60 73.0 8.22e+09 5.29e+08 4.21e+18 475 2.05e+09 516 104 3.01e+04 13.5 173
24.146121640281788 16 9.387279810976983 19.81325230331789 11.0 0.047267154393258196 6.0 4.0 2.4 1.3 2.0 1.1 3.00 0.938 2.06 0.00 1.44 233 37.4 5.32e+03 1.60 73.0 8.22e+09 5.29e+08 4.21e+18 475 2.05e+09 516 126 3.60e+04 13.5 190
25.146121640281788 16 9.387279810976983 19.81325230331789 11.0 0.047267154393258196 6.0 4.0 2.4 1.3 2.0 1.1 3.00 0.938 2.06 0.00 1.44 233 37.4 5.32e+03 1.60 73.0 8.22e+09 5.29e+08 4.21e+18 475 2.05e+09 516 143 3.50e+04 44.6 187
26.146121640281788 16 9.387279810976983 19.81325230331789 11.0 0.047267154393258196 6.0 4.0 2.4 1.3 2.0 1.1 3.00 0.938 2.06 0.00 1.44 233 37.4 5.32e+03 1.60 73.0 5.18e+26 3.90e+25 1.70e+52 1.29e+03 1.31e+26 516 143 3.50e+04 44.6 187
27.146121640281788 16 9.387279810976983 19.81325230331789 11.0 0.047267154393258196 6.0 4.0 2.4 1.3 2.0 1.1 3.00 0.938 2.06 0.00 1.44 233 37.4 5.32e+03 1.60 73.0 5.18e+26 3.90e+25 1.70e+52 1.29e+03 1.31e+26 516 143 3.50e+04 44.6 187
28.146121640281788 16 9.387279810976983 19.81325230331789 11.0 0.047267154393258196 6.0 4.0 2.4 1.3 2.0 1.1 3.00 0.938 2.06 0.00 1.44 233 37.4 5.32e+03 1.60 73.0 5.18e+26 3.90e+25 1.70e+52 1.29e+03 1.31e+26 516 143 3.50e+04 44.6 187
29.146121640281788 16 9.387279810976983 19.81325230331789 11.0 0.047267154393258196 6.0 4.0 2.4 1.3 2.0 1.1 3.00 0.938 2.06 0.00 1.44 233 37.4 5.32e+03 1.60 73.0 5.18e+26 3.90e+25 1.70e+52 1.29e+03 1.31e+26 516 143 3.50e+04 44.6 187
30.146121640281788 16 9.387279810976983 19.81325230331789 11.0 0.047267154393258196 6.0 4.0 2.4 1.3 2.0 1.1 3.00 0.938 2.06 0.00 1.44 233 37.4 5.32e+03 1.60 73.0 5.18e+26 3.90e+25 1.70e+52 1.29e+03 1.31e+26 516 143 3.50e+04 44.6 187
31.146121640281788 19 9.784213069861684 21.96062719744569 13.0 0.04568585384795784 7.0 5.0 2.5 1.4 2.0 1.2 3.00 0.947 2.05 0.00 1.43 288 65.6 1.01e+04 2.61 101 5.18e+26 3.28e+25 1.44e+52 326 1.20e+26 516 154 3.12e+04 96.4 177
32.14612164028179 19 9.784213069861684 21.96062719744569 13.0 0.04568585384795784 7.0 5.0 2.5 1.4 2.0 1.2 3.00 0.947 2.05 0.00 1.43 288 65.6 1.01e+04 2.61 101 5.18e+26 3.28e+25 1.44e+52 326 1.20e+26 649 176 4.39e+04 96.4 210
33.14612164028179 19 9.784213069861684 21.96062719744569 13.0 0.04568585384795784 7.0 5.0 2.5 1.4 2.0 1.2 3.00 0.947 2.05 0.00 1.43 288 65.6 1.01e+04 2.61 101 5.18e+26 3.28e+25 1.44e+52 326 1.20e+26 920 198 6.82e+04 96.4 261
34.14612164028179 19 9.784213069861684 21.96062719744569 13.0 0.04568585384795784 7.0 5.0 2.5 1.4 2.0 1.2 3.00 0.947 2.05 0.00 1.43 288 65.6 1.01e+04 2.61 101 5.18e+26 3.28e+25 1.44e+52 326 1.20e+26 932 220 9.19e+04 96.4 303
35.14612164028179 19 9.784213069861684 21.96062719744569 13.0 0.04568585384795784 7.0 5.0 2.5 1.4 2.0 1.2 3.00 0.947 2.05 0.00 1.43 288 65.6 1.01e+04 2.61 101 5.18e+26 3.28e+25 1.44e+52 326 1.20e+26 932 238 1.05e+05 96.4 324
36.14612164028179 19 9.784213069861684 21.96062719744569 13.0 0.04568585384795784 7.0 5.0 2.5 1.4 2.0 1.2 3.00 0.947 2.05 0.00 1.43 288 65.6 1.01e+04 2.61 101 5.18e+26 3.28e+25 1.44e+52 326 1.20e+26 932 252 1.06e+05 96.4 325
37.14612164028179 19 9.784213069861684 21.96062719744569 13.0 0.04568585384795784 7.0 5.0 2.5 1.4 2.0 1.2 3.00 0.947 2.05 0.00 1.43 288 65.6 1.01e+04 2.61 101 2.40e+68 1.44e+67 3.04e+135 450 5.51e+67 932 252 1.06e+05 96.4 325
