#####################################################################
# Alchemist log file - simulation started at: 2025-03-21T13:45+0000 #
#####################################################################
#
# seed = 445.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 1.0 NaN 0.0 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.6416584418580513 2 11.973162987416348 11.535131207776779 1.0 0.16506748843618763 1.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00128 0.00128 0.00 0.00128 0.00 NaN NaN NaN NaN NaN 0.00128 0.00128 0.00 0.00128 0.00 269 269 0.00 269 0.00
1.6416584418580513 3 10.451789374975064 9.597979843392045 2.0 0.06246523646289765 2.0 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.0168 0.00644 7.98e-05 0.00128 0.00894 0.00 0.00 0.00 0.00 0.00 0.0180 0.0176 5.48e-07 0.0180 0.000740 269 180 2.42e+04 269 155
2.641658441858051 6 10.999987767872371 9.17944488249689 3.0 0.03838988824993962 4.0 3.0 1.7 0.67 1.5 0.82 2.00 0.667 1.07 0.00 1.03 0.0168 0.00406 4.21e-05 0.00128 0.00649 145 69.9 6.53e+03 67.3 80.8 0.0181 0.00965 7.99e-05 0.0109 0.00894 269 136 1.45e+04 140 120
3.641658441858051 9 12.028086037575662 10.11495371215396 4.0 0.0286681933793619 5.0 3.0 2.0 0.75 2.0 0.87 3.00 0.556 1.03 0.00 1.01 0.774 0.0889 0.0660 0.00128 0.257 193 46.6 5.15e+03 0.0578 71.8 0.774 0.0922 0.0655 0.00287 0.256 269 81.3 1.13e+04 0.116 106
4.641658441858051 12 12.01936001735978 12.33596726157446 6.0 0.029759693218677143 5.0 4.0 2.2 1.1 2.0 1.0 3.00 0.667 0.970 0.00 0.985 7.78 0.802 4.92 0.00394 2.22 118 17.3 1.43e+03 0.0446 37.9 7.78 0.933 4.79 0.112 2.19 269 49.2 8.16e+03 0.236 90.3
5.641658441858051 15 12.831605640806776 13.356761741711763 7.0 0.03444319808875308 6.0 6.0 2.7 2.0 3.0 1.4 3.00 0.733 1.21 0.00 1.10 7.78 0.872 4.42 0.0163 2.10 77.7 14.4 638 0.242 25.3 8.55 1.63 7.98 0.219 2.83 269 43.9 6.91e+03 0.365 83.1
6.641658441858051 20 12.777473803953686 14.961322167835664 10.0 0.0319410001078478 8.0 6.0 2.7 2.2 3.0 1.5 4.00 0.750 1.36 0.00 1.16 36.5 2.83 67.3 0.0338 8.20 44.4 10.3 288 0.00180 17.0 36.5 4.36 72.6 0.220 8.52 269 36.9 5.30e+03 0.0196 72.8
7.641658441858051 22 12.880315237014687 15.684981051197843 10.0 0.03513510011863258 7.0 6.0 2.8 1.9 3.0 1.4 4.00 0.909 1.52 0.500 1.23 36.5 3.40 70.1 0.0562 8.37 75.6 9.48 418 0.144 20.5 47.6 7.00 155 0.957 12.4 269 35.0 5.72e+03 0.829 75.6
8.641658441858052 24 12.604009875677528 16.244209117675428 11.0 0.035329202255935326 7.0 6.0 2.9 2.0 3.0 1.4 4.00 0.875 1.33 0.500 1.15 141 9.00 853 0.0970 29.2 71.9 9.00 374 0.751 19.3 141 15.3 948 1.20 30.8 269 31.8 4.95e+03 1.16 70.3
9.641658441858052 29 11.825952624281515 17.294760705407022 13.0 0.04206031692436869 8.0 6.0 3.4 2.2 4.0 1.5 4.00 0.793 1.24 0.00 1.11 141 9.83 762 0.625 27.6 50.6 7.39 156 0.495 12.5 177 23.1 1.80e+03 1.36 42.4 269 26.7 3.29e+03 0.919 57.4
10.641658441858052 29 11.825952624281515 17.294760705407022 13.0 0.04206031692436869 8.0 6.0 3.4 2.2 4.0 1.5 4.00 1.00 1.36 1.00 1.16 141 9.83 762 0.625 27.6 70.1 5.92 246 0.139 15.7 213 38.4 4.38e+03 6.03 66.2 269 25.3 4.09e+03 0.185 64.0
11.641658441858052 33 12.529379177999754 18.064646354440544 16.0 0.04056879524253699 8.0 6.0 3.8 3.0 4.0 1.7 4.00 0.848 1.20 0.00 1.09 141 9.90 696 0.625 26.4 48.7 6.30 129 0.195 11.4 290 55.0 8.62e+03 4.60 92.9 269 22.7 2.86e+03 0.468 53.4
